Reference,Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Impact.Factor.2019,Journal.Publisher,Paper.doi,Paper.Notes,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Population.Trend,Location,Location.GPS,Latitude,Longitude,Wild.Managed.Captive,Management,Population.Type,Interventions,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size,Av.Clutch.Size.lower,Av.Clutch.Size.upper,Av.Clutch.Size.Mean,log.Clutch.Size,10^.Clutch.Size,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.min,Eggs.StudyClutch.max,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Proportion,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition,Other.Observations,Notes
Cichón et al.,2005,Cichón et al. 2005,Cichón et al. 2005 (02),"Male-biased sex ratio among unhatched eggs in great tit Parus major, blue tit P. caeruleus and collared flycatcher Ficedula albicollis",Journal of Avian Biology,1.799,Wiley-Blackwell [Nordic Society Oikos],﻿10.1111/j.0908-8857.2005.03589.x,Found in Stewart & Westneat 2013 Appendix 2,YES,YES,YES,2001,2003,3,Passeriformes,Muscicapidae,Collared Flycatcher,Ficedula_albicollis,Ficedula_albicollis,Ficedula albicollis,Ficedula_albicollis,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Gotland, Sweden",NA,57.3706230,18.6993760,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,2.166713674,97.83328633,0.00,0.00,,,,"6.0 ± 0.83, 6.5 ± 0.68, 6.07 ± 0.91",5.383333333,6.996666667,6.19,0.775428392,5.9625,NA,NA,NA,NA,NA,864,NA,864,5353.73,4651.2,6045.12,5348.16,5151.6,NA,NA,5353.73,5237.73,0.978332863,Not stated,Not stated,Not stated,Not stated,Not stated,NA,84% unhatched embryos = male; 13.89% unhatched eggs 'unfertilised',Mean hatching failure (weighted by number of nests) calculated from Table 1; N.B. unhatched eggs not collected from all nests
Cichón et al.,2005,Cichón et al. 2005,Cichón et al. 2005 (03),"Male-biased sex ratio among unhatched eggs in great tit Parus major, blue tit P. caeruleus and collared flycatcher Ficedula albicollis",Journal of Avian Biology,1.799,Wiley-Blackwell [Nordic Society Oikos],﻿10.1111/j.0908-8857.2005.03589.x,Found in Stewart & Westneat 2013 Appendix 2,YES,YES,YES,2001,2003,3,Passeriformes,Paridae,Great Tit,Parus_major,Parus_major,Parus major,Parus_major,Not Recognised (NR),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Gotland, Sweden",NA,57.3706230,18.6993760,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,1.709401709,98.29059829,0.00,0.00,,,,"8.0 ± 1.56, 9.2 ± 1.29, 8.2 ± 1.6",6.983333333,9.95,8.466666667,0.927498682,8.4625,NA,NA,NA,NA,NA,599,NA,599,5031,4183.016667,5960.05,5071.533333,5069.0375,NA,NA,5031,4945,0.982905983,Not stated,Not stated,Not stated,Not stated,Not stated,NA,71% unhatched embryos = male; 22.09% unhatched eggs 'unfertilised',Mean hatching failure (weighted by number of nests) calculated from Table 1; N.B. unhatched eggs not collected from all nests
Clauser & McRae,2017,Clauser & McRae 2017,Clauser & McRae 2017,Plasticity in incubation behavior and shading by king rails Rallus elegans in response to temperature,Journal of Avian Biology,1.799,Wiley-Blackwell [Nordic Society Oikos],﻿10.1111/jav.01056,Use iButton in model egg,YES,YES,YES,2014,2015,2,Gruiformes,Rallidae,King Rail,Rallus_elegans,Rallus_elegans,Rallus elegans,Rallus_elegans,NT,NT,NT,Non-threatened,Non-threatened,NA,,Decreasing,"Mackay Island National Wildlife Refuge, North Carolina/Virginia, USA","﻿36°31′N, 75°58′W",36.5166670,-75.9666670,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,46.41666667,53.58333333,NA,NA,,,,9,9,9,9,1.02325246,10.55,NA,NA,NA,NA,NA,12,NA,12,NA,108,108,108,126.6,NA,NA,108,57.87,0.535833333,"""",% of eggs hatching in successful nests,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,Not stated,NA,"Eggs from nests found deserted were collected and contents inspected, none contained signs of embryo development - in text states eggs remaining in nests post-desertion appear to have died early in development, implies assumed to be EEM rather than infertile",Mean hatching success from successful nests - not predated/deserted; recalculated mean from data on Dryad - reported hatching success in paper appears to only be for successful nests that did not exceed 43.5oC - no SDs or SEs reported -- appears to be an issue with the data - see notes in paper
Collins et al.,2009,Collins et al. 2009,Collins et al. 2009,Reproduction and microhabitat selection in a sharply declining Northern Bobwhite population,The Wilson Journal of Ornithology,0.574,Wilson Ornithological Society,﻿10.1676/09-040.1,NA,YES,YES,NO,2006,2007,2,Galliformes,Odontophoridae,Northern Bobwhite,Colinus_virginianus,Colinus_virginianus,Colinus virginianus,Colinus_virginianus,NT,NT,NT,Non-threatened,Non-threatened,NA,,Decreasing,"Cumberland County, New Jersey, USA","39°22'N, 75°15'W",39.3666670,-75.2500000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,3.9,96.1,2.00,NA,,,,﻿14.2 ± 0.58,13.62,14.78,14.2,1.036429266,10.875,NA,NA,NA,NA,NA,10,NA,10,NA,136.2,147.8,142,108.75,NA,NA,142,136.462,0.961,Not stated,Not stated,Not stated,NA,NA,NA,"﻿Ten nests hatched over both years, 10 were depredated, one was abandoned (incubating adult was killed away from the nest site), and two nests were abandoned due to observer disturbance.",Includes successful nests only (hatched ﻿≥1 egg)
Congdon & Briskie,2014,Congdon & Briskie 2014,Congdon & Briskie 2014 - overall,Changes in the life history traits of Song Thrushes Turdus philomelos introduced to New Zealand,Bird Study,0.952,Taylor and Francis Ltd.,﻿10.1080/00063657.2014.908820,NA,YES,YES,NO,2002,2008,7,Passeriformes,Turdidae,Song Thrush,Turdus_philomelos,Turdus_philomelos,Turdus philomelos,Turdus_philomelos,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Kowhai Bush, Kaikoura, New Zealand","﻿42°23′S, 173°37′E",-42.3833330,173.6166670,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,10.2393617,89.7606383,0.00,0.00,,,,3.56 ± 0.031,3.529,3.591,3.56,0.619875609,4.1675,NA,NA,NA,NA,NA,209,NA,209,752,737.561,750.519,744.04,871.0075,NA,NA,752,675,0.897606383,"""",Proportion of eggs that hatched out of the total number of eggs present at hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,,NA
Congdon & Briskie,2014,Congdon & Briskie 2014,Congdon & Briskie 2014 - per nest,Changes in the life history traits of Song Thrushes Turdus philomelos introduced to New Zealand,Bird Study,0.952,Taylor and Francis Ltd.,﻿10.1080/00063657.2014.908820,NA,YES,YES,NO,2002,2008,7,Passeriformes,Turdidae,Song Thrush,Turdus_philomelos,Turdus_philomelos,Turdus philomelos,Turdus_philomelos,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Kowhai Bush, Kaikoura, New Zealand","﻿42°23′S, 173°37′E",-42.3833330,173.6166670,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,10.2,89.8,0.01,NA,,,,3.56 ± 0.031,3.529,3.591,3.56,0.619875609,4.1675,NA,NA,NA,NA,NA,209,NA,209,752,737.561,750.519,744.04,871.0075,NA,NA,752,675.296,0.898,"""",Proportion of eggs that hatched out of the total number of eggs present at hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,,NA
Cook et al.,2005,Cook et al. 2005,Cook et al. 2005,Microbial infection affects egg viability and incubation behavior in a tropical passerine,Behavioral Ecology,2.761,Oxford University Press,﻿10.1093/beheco/arh131,NA,YES,YES,YES,1998,2001,4,Passeriformes,Mimidae,Pearly-eyed Thrasher,Margarops_fuscatus,Margarops_fuscatus,Margarops fuscatus,Margarops_fuscatus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Luquillo Experimental Forest and Las Paulinas, Puerto Rico","﻿18°19'N, 65°45'W",18.3166670,-65.7500000,Wild managed,Managed,Unmanipulated,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,12.7,87.3,0.00,0.00,,,,3-4 eggs,3,4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,54,47.142,0.873,Not stated,Not stated,Not stated,Not stated,Not stated,NA,"Excluded all eggs lost by causes other than hatching failure (e.g. predation, egg damage, desertion)",
Cooper et al.,2006,Cooper et al. 2006,Cooper et al. 2006,﻿Geographical and seasonal gradients in hatching failure in Eastern Bluebirds Sialia sialis reinforce clutch size trends,Ibis,2.076,Wiley-Blackwell,﻿10.1111/j.1474-919X.2006.00500.x,Found in Stewart & Westneat (2013) Appendix 1,YES,YES,YES,1998,2004,7,Passeriformes,Turdidae,Eastern Bluebird,Sialia_sialis,Sialia_sialis,Sialia sialis,Sialia_sialis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,East USA,NA,34.7805840,-83.1316060,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,7.830011975,92.16998802,0.00,0.00,,,,3-6 eggs,3,6,4.5,0.646403726,4.43,NA,NA,NA,NA,NA,7231,NA,7231,32567,21693,43386,32539.5,32033.33,NA,NA,32567,30017,0.92169988,Total number of unhatched eggs over the total number of eggs laid (*100),"""",Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,Not stated,NA,"Only includes unhatched eggs, not disappeared",Excluded cluches that failed completely to hatch
Cordero et al.,2004,Cordero et al. 2004,Cordero et al. 2004,"Parental genetic characteristics and hatching success in the spotless starling, Sturnus unicolor",Animal Behaviour,2.689,Elsevier,﻿10.1016/j.anbehav.2003.06.005,NA,YES,YES,YES,1996,1997,2,Passeriformes,Sturnidae,Spotless Starling,Sturnus_unicolor,Sturnus_unicolor,Sturnus unicolor,Sturnus_unicolor,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Collado Villalba, Madrid, Spain",NA,40.6322660,-4.0057740,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,12,88,NA,14.00,,,,NA,NA,NA,NA,0.564271411,3.6666665,NA,NA,NA,45,NA,NA,74,74,NA,NA,NA,NA,271.333321,NA,NA,271.333321,238.7733225,0.88,Not stated,Not stated,Not stated,"Percentage of eggs surviving to the time of hatching that produced a chick (e.g. Koenig, 1982) after pooling all eggs laid per clutch and pair",Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period after pooling all eggs laid per clutch and pair,NA,Infertility the main cause of hatching failure of first-laid eggs (from Cabezas-Díaz & Virgós),"Eggs and clutches that had disappeared or been lost to predation, abandoned or accidentally broken (10% of clutches) were excluded from analyses; Hatching success was statistically related to female homozygosity"
Covas et al.,2008,Covas et al. 2008,Covas et al. 2008,Helpers in colonial cooperatively breeding sociable weavers Philetairus socius contribute to buffer the effects of adverse breeding conditions,Behavioral Ecology and Sociobiology,2.277,Springer,﻿10.1007/s00265-008-0640-2,Found via Vieira (2019),YES,YES,NO,1999,2001,2,Passeriformes,Ploceidae,Sociable Weaver,Philetairus_socius,Philetairus_socius,Philetairus socius,Philetairus_socius,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Benfontein Game Farm, Northern Cape Province, South Africa","﻿28°53′S, 24°89′E",-28.8242790,24.8203470,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,14,86,NA,21.00,,,,3.3 ± 0.7,2.6,4,3.3,0.55428723,3.5833335,NA,NA,NA,NA,NA,NA,132,132,NA,343.2,528,435.6,473.000022,NA,NA,435.6,374.616,0.86,"""",Proportion of eggs laid that hatched (non-depredated clutches),"Percentage/Proportion of eggs that hatched out of eggs laid, excluding failure due to predation",NA,NA,NA,Colony size was negatively associated with hatching and fledging success and number of young fledged per season,"Negative effect of colony size on hatching success may be related to greater levels of food depletion and parasite loads at larger colonies; longer foraging trips could lead to longer periods off the nest, deficient incubation and ultimately to increased hatching failure"
Custer et al.,2005,Custer et al. 2005,Custer et al. 2005 (01),"Exposure and effects of 2,3,7,8-tetrachlorodibenzo-p-dioxin in tree swallows (Tachycineta bicolor) nesting along the Woonasquatucket River, Rhode Island, USA",Environmental Toxicology and Chemistry,3.152,Wiley-Blackwell,﻿10.1897/03-682.1,NA,YES,YES,YES,2000,2001,2,Passeriformes,Hirundinidae,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,Tachycineta bicolor,Tachycineta_bicolor,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Allendale Mill Pond, Woonasquatucket River, Rhode Island, USA","﻿4636100 N, 293900 E",41.8532000,-71.4836000,Wild managed,Managed,Contaminated pond,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,51.3,48.7,0.00,0.00,,,,NA,NA,NA,NA,0.719331287,5.24,NA,NA,NA,NA,NA,40,NA,40,NA,NA,NA,NA,209.6,NA,NA,209.6,102.0752,0.487,"""",Percentage of eggs that hatched,Percentage/Proportion of eggs that hatched,Not stated,Not stated,NA,Excluded nest attempts lost to predation or disturbed by humans,No sure how HS% calculated - may be variation of Mayfield - Took mean of hatching success weighted by sample size across 2 years
Custer et al.,2005,Custer et al. 2005,Custer et al. 2005 (02),"Exposure and effects of 2,3,7,8-tetrachlorodibenzo-p-dioxin in tree swallows (Tachycineta bicolor) nesting along the Woonasquatucket River, Rhode Island, USA",Environmental Toxicology and Chemistry,3.152,Wiley-Blackwell,﻿10.1897/03-682.1,NA,YES,YES,YES,2001,2001,1,Passeriformes,Hirundinidae,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,Tachycineta bicolor,Tachycineta_bicolor,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Lyman Mill Pond, Woonasquatucket River, Rhode Island, USA","﻿4637800 N, 293000 E",41.8431000,-71.4790000,Wild managed,Managed,Contaminated pond,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,30,70,0.00,0.00,,,,NA,NA,NA,NA,0.719331287,5.24,NA,NA,NA,NA,NA,11,NA,11,NA,NA,NA,NA,57.64,NA,NA,57.64,40.348,0.7,"""",Percentage of eggs that hatched,Percentage/Proportion of eggs that hatched,Not stated,Not stated,NA,Excluded nest attempts lost to predation or disturbed by humans,No sure how HS% calculated - may be variation of Mayfield
Custer et al.,2005,Custer et al. 2005,Custer et al. 2005 (03),"Exposure and effects of 2,3,7,8-tetrachlorodibenzo-p-dioxin in tree swallows (Tachycineta bicolor) nesting along the Woonasquatucket River, Rhode Island, USA",Environmental Toxicology and Chemistry,3.152,Wiley-Blackwell,﻿10.1897/03-682.1,NA,YES,YES,YES,2000,2001,2,Passeriformes,Hirundinidae,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,Tachycineta bicolor,Tachycineta_bicolor,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Greystone Mill Pond, Woonasquatucket River, Rhode Island, USA","﻿4635000 N, 294100 E",41.8698000,-71.4953000,Wild managed,Managed,Reference pond,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,17,83,0.00,0.00,,,,NA,NA,NA,NA,0.719331287,5.24,NA,NA,NA,NA,NA,20,NA,20,NA,NA,NA,NA,104.8,NA,NA,104.8,86.984,0.83,"""",Percentage of eggs that hatched,Percentage/Proportion of eggs that hatched,Not stated,Not stated,NA,Excluded nest attempts lost to predation or disturbed by humans,No sure how HS% calculated - may be variation of Mayfield - Took mean of hatching success weighted by sample size across 2 years
Custer et al.,2012,Custer et al. 2012,Custer et al. 2012 (01),"Exposure and effects of perfluoroalkyl compounds on tree swallows nesting at Lake Johanna in east central Minnesota, USA",Reproductive Toxicology,3.121,Elsevier,﻿10.1016/j.reprotox.2011.01.005,NA,YES,YES,YES,2009,2009,1,Passeriformes,Hirundinidae,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,Tachycineta bicolor,Tachycineta_bicolor,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Green Mountain Lake, Minnesota, USA","﻿45°10'00''N, 93°47'37''W",45.1666670,-93.7936110,Wild managed,Managed,Reference,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,0,100,0.00,0.00,,,,5.1,5.1,5.1,5.1,0.719331287,5.24,NA,NA,NA,NA,NA,10,NA,10,43,51,51,51,52.4,NA,NA,43,43,1,"""",Percent of eggs laid that hatched,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,Not stated,NA,Nests that failed because of depredation or were human caused (automobile collision) were excluded from the analyses because these two factors were presumed not to be contaminant related,"Recalculated HS % from Table 4, excluded collected/missing/abandoned/dead/orphaned) eggs"
Custer et al.,2012,Custer et al. 2012,Custer et al. 2012 (02),"Exposure and effects of perfluoroalkyl compounds on tree swallows nesting at Lake Johanna in east central Minnesota, USA",Reproductive Toxicology,3.121,Elsevier,﻿10.1016/j.reprotox.2011.01.005,NA,YES,YES,YES,2008,2009,2,Passeriformes,Hirundinidae,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,Tachycineta bicolor,Tachycineta_bicolor,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Lake Johanna, Minnesota, USA","﻿45°02'38''N, 93°10'15''W",45.0438890,-93.1708330,Wild managed,Managed,Exposed to perfluroalkyl compounds,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,10.44776119,89.55223881,0.00,0.00,,,,5.4,5.4,5.4,5.4,0.719331287,5.24,NA,NA,NA,NA,NA,15,NA,15,67,81,81,81,78.6,NA,NA,67,60,0.895522388,"""",Percent of eggs laid that hatched,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,Not stated,NA,Nests that failed because of depredation or were human caused (automobile collision) were excluded from the analyses because these two factors were presumed not to be contaminant related,"Recalculated HS % from Table 4, excluded collected/missing/abandoned/dead/orphaned) eggs"
Custer et al.,2013,Custer et al. 2013,Custer et al. 2013,Dredging and contaminant exposure to tree swallows nesting on the upper Mississippi River,Environmental Monitoring and Assessment,1.903,Springer,﻿10.1007/s10661-013-3234-z,NA,YES,YES,NO,2007,2010,4,Passeriformes,Hirundinidae,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,Tachycineta bicolor,Tachycineta_bicolor,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Mississippi River, USA",NA,35.5147060,-89.9125060,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,11.4481409,88.5518591,0.00,0.00,,,,NA,NA,NA,NA,0.719331287,5.24,NA,NA,NA,NA,NA,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,1022,905,0.885518591,Not stated,Not stated,Not stated,NA,NA,NA,,Calculated HS % from text
Custer et al.,2014,Custer et al. 2014,Custer et al. 2014 (01),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,2.400,Springer,﻿10.1007/s00244-013-9934-0,NA,YES,YES,NO,2007,2011,5,Passeriformes,Hirundinidae,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,Tachycineta bicolor,Tachycineta_bicolor,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Lake Johanna, Minnesota, USA","﻿42°02'37.96''N, 93°10'15.41''W",42.0438780,-93.1709470,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,8.955223881,91.04477612,0.00,0.00,,,,NA,NA,NA,NA,0.719331287,5.24,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,67,61,0.910447761,"""",Percent of the eggs hatching of the number of eggs available,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,NA,One egg removed from most nests for contaminant analyses,HS % calculated from Table 5
Custer et al.,2014,Custer et al. 2014,Custer et al. 2014 (02),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,2.400,Springer,﻿10.1007/s00244-013-9934-0,NA,YES,YES,NO,2007,2011,5,Passeriformes,Hirundinidae,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,Tachycineta bicolor,Tachycineta_bicolor,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Root River, USA","﻿43°45'52.86''N, 91°21'55.53''W",43.7646830,-91.3654250,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,8.450704225,91.54929577,0.00,0.00,,,,NA,NA,NA,NA,0.719331287,5.24,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,71,65,0.915492958,"""",Percent of the eggs hatching of the number of eggs available,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,NA,One egg removed from most nests for contaminant analyses,HS % calculated from Table 5
